player_id,player_name
3133838,yuta-watanabe
3135047,justise-winslow
4431679,precious-achiuwa
4066261,bam-adebayo
3918424,kyle-alexander
4240,avery-bradley
6430,jimmy-butler
3423,goran-dragic
4426154,paul-eboua
6591,maurice-harkless
2184,udonis-haslem
4395725,tyler-herro
2386,andre-iguodala
6605,meyers-leonard
3056247,kendrick-nunn
4278521,kz-okpala
2489663,kelly-olynyk
3157465,duncan-robinson
3923253,chris-silva
4066276,breein-tyree
3137259,gabe-vincent
3133874,jaylen-adams
3032977,giannis-antetokounmpo
3102533,thanasis-antetokounmpo
3415,dj-augustin
2578239,pat-connaughton
3934673,donte-divincenzo
2994526,bryn-forbes
3995,jrue-holiday
2767,ersan-ilyasova
2011,kyle-korver
3448,brook-lopez
3059315,frank-mason-iii
4066757,sam-merrill
6609,khris-middleton
4395727,ej-montgomery
4277883,jordan-nwora
3064482,bobby-portis
3057240,cameron-reynolds
2797,marvin-williams
3136491,dj-wilson
3907822,malik-beasley
4683025,leandro-bolmaro
4277928,jarrett-culver
4594268,anthony-edwards
3934621,jacob-evans
4395722,ashton-hagans
4017839,juan-hernangomez
2982268,jake-layman
3133596,kelan-martin
4431671,jaden-mcdaniels
3134916,jordan-mclaughlin
4278541,jaylen-nowell
4065663,josh-okogie
4396971,naz-reid
4011,ricky-rubio
3136776,dangelo-russell
4065836,omari-spellman
3136195,karl-anthony-towns
4239,evan-turner
4278077,jarred-vanderbilt
2991235,steven-adams
4278039,nickeil-alexander-walker
4066421,lonzo-ball
4238,eric-bledsoe
3062679,josh-hart
4397077,jaxson-hayes
4066446,elijah-hughes
3913176,brandon-ingram
4065651,frank-jackson
4395698,kira-lewis-jr
4278594,naji-marshall
4341,nicolo-melli
6460,etwaun-moore
3024,jj-redick
3064539,sindarius-thornwell
4395628,zion-williamson
4423545,darius-bazley
3059358,deonte-burton
3137713,zylan-cheatham
4080610,hamidou-diallo
4397020,luguentz-dort
4278073,shai-gilgeous-alexander
3001308,josh-gray
4433157,josh-hall
3143565,kevin-hervey
3438,george-hill
3213,al-horford
3138156,justin-jackson
4065733,ty-jerome
4578893,vit-krejci
4423887,jalen-lecque
6610,darius-miller
2490089,mike-muscala
4237215,vincent-poirier
4683018,aleksej-pokusevski
2530596,andre-roberson
4066392,isaiah-roby
3918423,admiral-schofield
3133626,kenrich-williams
4065700,omer-yurtseven
4248,al-farouq-aminu
4432809,cole-anthony
3907821,dwayne-bacon
4277919,mo-bamba
2578240,khem-birch
2596108,michael-carter-williams
3132042,gary-clark
2579321,james-ennis-iii
6588,evan-fournier
3913546,melvin-frazier-jr
4066636,markelle-fultz
3064290,aaron-gordon
4065654,jonathan-isaac
3074797,wes-iwundu
3059280,bj-johnson
3136746,vic-law
4278052,chuma-okeke
6619,terrence-ross
6478,nikola-vucevic
4278555,ty-shon-alexander
4278129,deandre-ayton
3136193,devin-booker
3147657,mikal-bridges
3133635,jevon-carter
6581,jae-crowder
3919335,cheick-diallo
3138196,cameron-johnson
2579294,frank-kaminsky
2595435,abdel-nader
4230550,elie-okobo
3149059,tariq-owens
2779,chris-paul
3064230,cameron-payne
3032978,dario-saric
4397189,jalen-smith
1975,carmelo-anthony
4397126,moses-brown
4066650,zach-collins
4397166,cj-elleby
4066264,wenyen-gabriel
4065649,harry-giles-iii
4395688,jaylen-hoard
2581177,rodney-hood
3936099,derrick-jones-jr
6447,enes-kanter
6606,damian-lillard
4395652,nassir-little
2490149,cj-mccollum
3102530,jusuf-nurkic
4351851,anfernee-simons
3906671,caleb-swanigan
4277843,gary-trent-jr
4277848,marvin-bagley-iii
6578,harrison-barnes
6637,kent-bazemore
4269,nemanja-bjelica
3191,corey-brewer
2991018,yogi-ferrell
4066259,deaaron-fox
4065730,kyle-guy
4396993,tyrese-haliburton
2990984,buddy-hield
2993370,richaun-holmes
3914058,justin-james
3913220,daquan-jeffries
6446,cory-joseph
2596107,alex-len
4702882,kj-martin
3056600,jabari-parker
4431688,jahmius-ramsey
4262,hassan-whiteside
4396961,robert-woodard-ii
2983,lamarcus-aldridge
3190,marco-belinelli
3978,demar-derozan
3914285,drew-eubanks
3005,rudy-gay
4395723,keldon-johnson
4395626,tre-jones
3136196,trey-lyles
3914283,chimezie-metu
4004,patty-mills
3907497,dejounte-murray
3134908,jakob-poeltl
4423309,luka-samanic
4395630,devin-vassell
4277890,lonnie-walker-iv
3907358,quinndary-weatherspoon
3078576,derrick-white
6631,tyler-zeller
4683021,deni-avdija
6580,bradley-beal
6426,davis-bertans
4348697,isaac-bonga
4278508,troy-brown-jr
3934723,thomas-bryant
2581184,anthony-gill
2531047,jerian-grant
4066648,rui-hachimura
3447,robin-lopez
2774,ian-mahinmi
3913180,garrison-mathews
2530780,shabazz-napier
2968361,raul-neto
3893059,anzejs-pasecniks
3134903,gary-payton-ii
3943606,jerome-robinson
4305,ish-smith
2579293,jarrod-uthoff
3150844,moritz-wagner
4237,john-wall
3064528,johnathan-williams
4066382,cassius-winston
4066299,udoka-azubuike
3593,bojan-bogdanovic
3912292,jarrell-brantley
2528426,jordan-clarkson
3195,mike-conley
4257,derrick-favors
4065656,trent-forrest
3032976,rudy-gobert
2968436,joe-ingles
3908809,donovan-mitchell
3934721,juwan-morgan
3892818,emmanuel-mudiay
2990969,georges-niang
2583632,royce-oneale
4066851,miye-oni
3908819,rayjon-tucker
3064457,nigel-williams-goss
3911566,justin-wright-foreman
